ville,departement,code_postal,population,tier
Marseille,Bouches-du-Rhône,13001,886040,1
Aix-en-Provence,Bouches-du-Rhône,13080,149695,1
Arles,Bouches-du-Rhône,13104,51811,1
Martigues,Bouches-du-Rhône,13117,48298,1
Aubagne,Bouches-du-Rhône,13400,47529,1
Istres,Bouches-du-Rhône,13118,44292,1
Salon-de-Provence,Bouches-du-Rhône,13300,44194,1
La Ciotat,Bouches-du-Rhône,13600,38477,1
Vitrolles,Bouches-du-Rhône,13127,36758,1
Marignane,Bouches-du-Rhône,13700,33692,1
Miramas,Bouches-du-Rhône,13140,26203,1
Les Pennes-Mirabeau,Bouches-du-Rhône,13170,22537,1
Gardanne,Bouches-du-Rhône,13120,21597,1
Allauch,Bouches-du-Rhône,13190,21443,1
Châteauneuf-les-Martigues,Bouches-du-Rhône,13220,18455,1
Châteaurenard,Bouches-du-Rhône,13160,16545,2
Fos-sur-Mer,Bouches-du-Rhône,13270,15862,2
Port-de-Bouc,Bouches-du-Rhône,13110,15802,2
Tarascon,Bouches-du-Rhône,13150,15396,2
Bouc-Bel-Air,Bouches-du-Rhône,13320,15381,2
Saint-Martin-de-Crau,Bouches-du-Rhône,13310,14145,2
Berre-l'Étang,Bouches-du-Rhône,13130,13832,2
Auriol,Bouches-du-Rhône,13390,13037,2
Rognac,Bouches-du-Rhône,13340,12576,2
Septèmes-les-Vallons,Bouches-du-Rhône,13240,11995,2
Plan-de-Cuques,Bouches-du-Rhône,13380,11632,2
Pélissanne,Bouches-du-Rhône,13330,11085,2
Trets,Bouches-du-Rhône,13530,10946,2
Gignac-la-Nerthe,Bouches-du-Rhône,13180,10343,2
Fuveau,Bouches-du-Rhône,13710,10337,2
Cabriès,Bouches-du-Rhône,13480,10240,2
Lambesc,Bouches-du-Rhône,13410,10024,2
Lançon-Provence,Bouches-du-Rhône,13680,9915,2
Saint-Rémy-de-Provence,Bouches-du-Rhône,13210,9599,2
La Fare-les-Oliviers,Bouches-du-Rhône,13580,9039,2
Velaux,Bouches-du-Rhône,13880,8941,2
Roquevaire,Bouches-du-Rhône,13360,8915,2
Saint-Chamas,Bouches-du-Rhône,13250,8676,2
Port-Saint-Louis-du-Rhône,Bouches-du-Rhône,13230,8573,2
Éguilles,Bouches-du-Rhône,13510,8479,2
Venelles,Bouches-du-Rhône,13770,8418,2
Sausset-les-Pins,Bouches-du-Rhône,13960,7574,2
Eyguières,Bouches-du-Rhône,13430,7119,2
Sénas,Bouches-du-Rhône,13560,6925,2
Carnoux-en-Provence,Bouches-du-Rhône,13470,6873,2
Meyreuil,Bouches-du-Rhône,13590,6747,2
Saint-Victoret,Bouches-du-Rhône,13730,6730,2
Cassis,Bouches-du-Rhône,13260,6661,2
La Penne-sur-Huveaune,Bouches-du-Rhône,13821,6605,2
Gémenos,Bouches-du-Rhône,13420,6579,2
La Bouilladisse,Bouches-du-Rhône,13720,6547,2
Cuges-les-Pins,Bouches-du-Rhône,13780,6236,2
Saint-Mitre-les-Remparts,Bouches-du-Rhône,13920,6175,2
Mallemort,Bouches-du-Rhône,13370,6166,2
Saint-Cannat,Bouches-du-Rhône,13760,6097,2
Noves,Bouches-du-Rhône,13550,6080,2
Le Puy-Sainte-Réparade,Bouches-du-Rhône,13610,5935,2
Ventabren,Bouches-du-Rhône,13122,5839,2
Roquefort-la-Bédoule,Bouches-du-Rhône,13830,5798,2
Simiane-Collongue,Bouches-du-Rhône,13109,5780,2
Peypin,Bouches-du-Rhône,13124,5771,2
Ensuès-la-Redonne,Bouches-du-Rhône,13820,5757,2
Carry-le-Rouet,Bouches-du-Rhône,13620,5702,2
Grans,Bouches-du-Rhône,13450,5489,2
La Roque-d'Anthéron,Bouches-du-Rhône,13640,5459,2
Rousset,Bouches-du-Rhône,13790,5425,2
Peyrolles-en-Provence,Bouches-du-Rhône,13860,5409,2
Le Rove,Bouches-du-Rhône,13740,5246,2
Ceyreste,Bouches-du-Rhône,13600,4863,2
Graveson,Bouches-du-Rhône,13690,4698,2
Rognes,Bouches-du-Rhône,13840,4693,2
Cabannes,Bouches-du-Rhône,13440,4595,2
Gréasque,Bouches-du-Rhône,13850,4554,2
Jouques,Bouches-du-Rhône,13490,4547,2
Eyragues,Bouches-du-Rhône,13630,4298,2
Barbentane,Bouches-du-Rhône,13570,4266,2
Rognonas,Bouches-du-Rhône,13870,4261,2
Mimet,Bouches-du-Rhône,13105,4241,2
La Destrousse,Bouches-du-Rhône,13112,4133,2
Meyrargues,Bouches-du-Rhône,13650,3847,2
Coudoux,Bouches-du-Rhône,13111,3825,2
Peynier,Bouches-du-Rhône,13790,3739,2
Plan-d'Orgon,Bouches-du-Rhône,13750,3573,2
Fontvieille,Bouches-du-Rhône,13990,3571,2
Mouriès,Bouches-du-Rhône,13890,3527,2
Saint-Savournin,Bouches-du-Rhône,13119,3397,2
Saint-Andiol,Bouches-du-Rhône,13670,3353,2
Alleins,Bouches-du-Rhône,13980,2852,2
Maillane,Bouches-du-Rhône,13910,2775,2
Orgon,Bouches-du-Rhône,13660,2762,2
Mollégès,Bouches-du-Rhône,13940,2647,2
Charleval,Bouches-du-Rhône,13350,2640,2
Saint-Étienne-du-Grès,Bouches-du-Rhône,13103,2489,2
Saintes-Maries-de-la-Mer,Bouches-du-Rhône,13460,2433,2
Le Tholonet,Bouches-du-Rhône,13100,2391,2
Châteauneuf-le-Rouge,Bouches-du-Rhône,13790,2376,2
Maussane-les-Alpilles,Bouches-du-Rhône,13520,2347,2
Cadolive,Bouches-du-Rhône,13950,2236,2
Vernègues,Bouches-du-Rhône,13116,2166,2
Paradou,Bouches-du-Rhône,13520,2159,2
Lamanon,Bouches-du-Rhône,13113,2097,2
Belcodène,Bouches-du-Rhône,13720,2009,2
Eygalières,Bouches-du-Rhône,13810,1773,2
Puyloubier,Bouches-du-Rhône,13114,1768,2
Cornillon-Confoux,Bouches-du-Rhône,13250,1667,2
Boulbon,Bouches-du-Rhône,13150,1543,2
Aureille,Bouches-du-Rhône,13930,1533,2
Saint-Marc-Jaumegarde,Bouches-du-Rhône,13100,1273,2
Vauvenargues,Bouches-du-Rhône,13126,1058,2
Saint-Paul-lès-Durance,Bouches-du-Rhône,13115,885,2
La Barben,Bouches-du-Rhône,13330,868,2
Verquières,Bouches-du-Rhône,13670,772,2
Beaurecueil,Bouches-du-Rhône,13100,585,2
Mas-Blanc-des-Alpilles,Bouches-du-Rhône,13103,564,2
Aurons,Bouches-du-Rhône,13121,555,2
Saint-Estève-Janson,Bouches-du-Rhône,13610,357,2
Les Baux-de-Provence,Bouches-du-Rhône,13520,264,2
Saint-Pierre-de-Mézoargues,Bouches-du-Rhône,13150,229,2
Saint-Antonin-sur-Bayon,Bouches-du-Rhône,13100,126,2

